County,U_R
Adams County,Rural
Allegheny County,Urban
Armstrong County,Rural
Beaver County,Urban
Bedford County,Rural
Berks County,Urban
Blair County,Rural
Bradford County,Rural
Bucks County,Urban
Butler County,Rural
Cambria County,Rural
Cameron County,Rural
Carbon County,Rural
Centre County,Rural
Chester County,Urban
Clarion County,Rural
Clearfield County,Rural
Clinton County,Rural
Columbia County,Rural
Crawford County,Rural
Cumberland County,Urban
Dauphin County,Urban
Delaware County,Urban
Elk County,Rural
Erie County,Urban
Fayette County,Rural
Forest County,Rural
Franklin County,Rural
Fulton County,Rural
Greene County,Rural
Huntingdon County,Rural
Indiana County,Rural
Jefferson County,Rural
Juniata County,Rural
Lackawanna County,Urban
Lancaster County,Urban
Lawrence County,Rural
Lebanon County,Urban
Lehigh County,Urban
Luzerne County,Urban
Lycoming County,Rural
McKean County,Rural
Mercer County,Rural
Mifflin County,Rural
Monroe County,Rural
Montgomery County,Urban
Montour County,Rural
Northampton County,Urban
Northumberland County,Rural
Perry County,Rural
Philadelphia County,Urban
Pike County,Rural
Potter County,Rural
Schuylkill County,Rural
Snyder County,Rural
Somerset County,Rural
Sullivan County,Rural
Susquehanna County,Rural
Tioga County,Rural
Union County,Rural
Venango County,Rural
Warren County,Rural
Washington County,Rural
Wayne County,Rural
Westmoreland County,Urban
Wyoming County,Rural
York County,Urban
